study_id,year,intervention,control,domain,n_intervention,n_control,events_intervention,events_control,mean_age,pct_male,mean_followup_months,notes,total_n
TIMIC,2004,Immunosuppression (azathioprine + prednisone),Conventional therapy,Heart Failure Pharmacotherapy,42,43,9,10,42.0,65.0,12.0,"Trial of Immunosuppressive therapy in Myocarditis with cardiac dysfunction. Biopsy-proven myocarditis. Immunosuppression: NO benefit (LVEF improvement similar, 21% vs 23% events). Viral myocarditis doesn't benefit from immunosuppression. Heart.",85
SENIORS,2005,Nebivolol,Placebo,Heart Failure Pharmacotherapy,1061,1061,332,375,76.0,63.0,21.0,"Elderly HF (mixed EF), beta-blocker 14% benefit",2122
CARE-HF,2005,CRT-P,Medical therapy,Heart Failure Pharmacotherapy,409,404,82,120,67.0,73.0,29.0,HF with dyssynchrony. CRT reduces mortality by 36%,813
SCD-HeFT,2005,ICD,Placebo,Heart Failure Pharmacotherapy,829,847,182,244,60.0,77.0,46.0,"Sudden Cardiac Death in Heart Failure Trial. HF (ischemic or non-ischemic) with EF≤35%, NYHA II-III. ICD reduced mortality 23% (22% vs 29%, p=0.007). Amiodarone: NO benefit. Established ICD for both ischemic AND non-ischemic HF.",1676
CARE-HF,2005,Cardiac Resynchronization Therapy (CRT) + medical therapy,Medical therapy alone,Heart Failure Pharmacotherapy,409,404,82,120,67.0,73.0,29.0,"HFrEF with wide QRS (≥120ms). Death reduced 36% (HR 0.64, p<0.001). Death/HF hosp reduced 37%. LANDMARK trial establishing CRT. Symptoms, QOL, LVEF all improved. Medtronic. Changed HF pacing forever.",813
SCD-HeFT,2005,ICD,Placebo,Heart Failure Pharmacotherapy,829,847,182,244,60.0,77.0,46.0,"Sudden Cardiac Death in HF Trial. HFrEF (ischemic + non-ischemic). ICD reduced death 23% (HR 0.77, p=0.007). Amiodarone: NO benefit. Established ICD for non-ischemic HF too. Medtronic. NEJM.",1676
SCD-HeFT,2005,ICD,Placebo,Heart Failure Pharmacotherapy,829,847,182,244,60.0,77.0,45.0,"Sudden Cardiac Death in Heart Failure Trial. ICD vs amiodarone vs placebo. ICD: Reduced mortality 23% vs placebo (22% vs 29%, HR 0.77). Amiodarone NO benefit. ICD standard for primary prevention. NEJM.",1676
CARE-HF,2005,CRT (biventricular pacing),Medical therapy,Heart Failure Pharmacotherapy,409,404,130,182,66.0,73.0,29.0,"CArdiac REsynchronization in Heart Failure. CRT-P (no defibrillator). CRT: Reduced mortality 36% (20% vs 30%, HR 0.64). Improved QoL, symptoms, EF. Established CRT benefit beyond ICD. NEJM.",813
SENIORS,2005,Nebivolol,Placebo,Heart Failure Pharmacotherapy,1067,1061,332,375,76.0,63.0,21.0,"Study of Effects of Nebivolol Intervention on Outcomes and Rehospitalisation in Seniors with heart failure. Age ≥70yr with HF. Nebivolol: Reduced death/CV hosp 14% (31.1% vs 35.3%, HR 0.86, p=0.039). Beta-blockers beneficial in elderly HF. Eur Heart J.",2128
CHOIR,2006,Target Hb 13.5 g/dL (EPO-α),Target Hb 11.3 g/dL,Heart Failure Pharmacotherapy,715,717,125,97,65.0,54.0,16.0,"Correction of Hemoglobin and Outcomes In Renal insufficiency. CKD + anemia. STOPPED EARLY for harm. Death/MI/HF hosp/stroke INCREASED 34% (17.5% vs 13.5%, HR 1.34, p=0.03). High Hb target harmful! Landmark safety trial.",1432
AF-CHF,2008,Rhythm control,Rate control,Heart Failure Pharmacotherapy,682,694,206,220,66.0,86.0,37.0,Atrial Fibrillation and Congestive Heart Failure,1376
HYVET,2008,Indapamide ± perindopril,Placebo,Heart Failure Pharmacotherapy,1933,1912,196,235,84.0,39.0,24.0,"Hypertension in the Very Elderly Trial. Age ≥80 years with HTN. Stroke reduced 30%, death reduced 21%, HF reduced 64%. STOPPED EARLY. Proved treatment beneficial even in very elderly. Landmark trial.",3845
COACH,2008,Heart failure transitional care (nurse home visits + calls),Usual care,Heart Failure Pharmacotherapy,503,509,182,218,71.0,61.0,18.0,"Care Organization and Coordination of Heart Failure. Post-discharge HF. Intensive transitional care reduced death/HF hosp (36.2% vs 42.8%, p=0.03). Home visits key component.",1012
GISSI-HF Rosuvastatin,2008,Rosuvastatin 10mg,Placebo,Heart Failure Pharmacotherapy,2285,2289,657,644,68.0,77.0,45.0,"Chronic HFrEF (any etiology). Rosuvastatin: NO benefit (29% vs 28%, p=0.59). Statins don't help established HF unless indicated for CAD. Statins for prevention, not for HF treatment itself.",4574
AF-CHF,2008,Rhythm control,Rate control,Heart Failure Pharmacotherapy,682,694,178,181,66.0,82.0,37.0,"Atrial Fibrillation and Congestive Heart Failure. AF + HF patients. Rhythm control: NO benefit vs rate control (27% vs 25% CV death, HR 1.06). Rate control acceptable even in HF-AF. NEJM.",1376
ANDROMEDA,2008,Dronedarone 400mg BID,Placebo,Heart Failure Pharmacotherapy,310,313,25,12,71.0,76.0,2.0,AntiArrhythmic trial with DROnedarone in Moderate to severe congestive heart failure Evaluating morbidity DecreAse. Recent HF hospitalization. Dronedarone: INCREASED mortality (8.1% vs 3.8%). STOPPED EARLY. Contraindicated in decompensated HF. Circulation.,623
MADIT-CRT,2009,CRT-D,ICD,Heart Failure Pharmacotherapy,1089,731,187,185,65.0,75.0,29.0,Mild HF (NYHA I-II). CRT reduces HF events by 41%,1820
HF-ACTION,2009,Aerobic exercise training,Usual care + education,Heart Failure Pharmacotherapy,1159,1172,759,796,59.0,72.0,30.0,"Heart Failure: A Controlled Trial Investigating Outcomes of exercise training. HFrEF with EF≤35%. Death/hosp marginally reduced (HR 0.93, p=0.13 NS primary; p=0.03 adjusted). QOL improved. Showed exercise safe in HF but modest clinical benefit.",2331
TIMIC,2009,Immunosuppression (pred + azathioprine),No immunosuppression,Heart Failure Pharmacotherapy,42,43,8,12,43.0,65.0,6.0,Trial of Immunosuppressive therapy in Myocarditis with Inflammatory Cardiomyopathy. Biopsy-proven virus-negative myocarditis. Immunosuppression: LVEF improved +10% vs +6% (p=0.09 NS primary endpoint). Post-hoc: benefit in inflammation-positive patients. Suggests targeted approach.,85
Intravenous Immunoglobulin,2009,IVIG 2g/kg,Placebo,Heart Failure Pharmacotherapy,31,31,5,8,42.0,68.0,12.0,"Recent-onset dilated cardiomyopathy (suspected myocarditis). IVIG: NO benefit for LVEF recovery (53% vs 51% to ≥40%, p=0.61). NEGATIVE trial. IVIG not effective for recent-onset DCM. Disappointing result.",62
FAIR-HF,2009,IV ferric carboxymaltose,Placebo,Heart Failure Pharmacotherapy,304,155,28,22,68.0,47.0,6.0,"Ferinject Assessment in patients with IRon deficiency and chronic HF. Iron deficiency common in HF (50%). IV iron improved symptoms, functional class, QOL. No mortality data. Established IV iron for HF with iron deficiency.",459
MADIT-CRT,2009,CRT-D (CRT + ICD),ICD alone,Heart Failure Pharmacotherapy,1089,731,187,185,65.0,75.0,29.0,"Mild HF (NYHA I-II), EF≤30%, QRS≥130ms. Death/HF event reduced 34% (HR 0.66, p<0.001). Extended CRT to milder HF. But benefit mainly QRS≥150ms. Left bundle branch block responded best. Boston Scientific.",1820
TIME-CHF,2009,NT-proBNP-guided therapy,Symptom-guided therapy,Heart Failure Pharmacotherapy,251,248,79,85,77.0,61.0,18.0,"Trial of Intensified vs standard Medical therapy in Elderly patients with CHF. Age≥60. Overall: NO benefit (HR 0.91, p=0.39). Age 60-75: benefit seen. Age≥75: no benefit. Suggests biomarker approach better for younger HF patients.",499
TIME-CHF,2009,NT-proBNP-guided therapy,Symptom-guided therapy,Heart Failure Pharmacotherapy,251,248,102,111,77.0,55.0,18.0,Trial of Intensified vs standard Medical therapy in Elderly with CHF. NT-proBNP-guided: NO significant benefit in elderly patients (41% vs 45% death/HF hosp). Age >75 years. May benefit younger patients. JAMA.,499
HF-ACTION,2009,Exercise training,Usual care,Heart Failure Pharmacotherapy,1172,1159,412,451,59.0,72.0,30.0,"Heart Failure: A Controlled Trial Investigating Outcomes of Exercise Training. Exercise: Modest reduction in death/HF hosp (35% vs 39%, HR 0.89, p=0.03). Improved QoL, functional capacity. Safe in stable HF. JAMA.",2331
ESETCID,2009,Immunosuppression,No immunosuppression,Heart Failure Pharmacotherapy,56,56,12,18,44.0,61.0,36.0,"European Study of Epidemiology and Treatment of Cardiac Inflammatory Disease. Virus-negative myocarditis. Immunosuppression: Improved LVEF, reduced inflammation. Benefit in virus-negative (likely autoimmune) myocarditis. Circulation.",112
SHIFT,2010,Ivabradine,Placebo,Heart Failure Pharmacotherapy,3241,3264,793,937,60.0,76.0,23.0,"HFrEF with HR ≥70, reduces CV death/HF hosp by 18%",6505
RAFT,2010,CRT-D,ICD,Heart Failure Pharmacotherapy,894,904,229,281,66.0,83.0,40.0,Mild-moderate HF. CRT reduces death/HF hospitalization by 25%,1798
RAFT,2010,CRT-D,ICD alone,Heart Failure Pharmacotherapy,894,904,229,281,66.0,83.0,40.0,"Resynchronization-Defibrillation for Ambulatory Heart Failure Trial. Mild-moderate HF, EF≤30%, QRS≥120ms. Death/HF hosp reduced 25% (HR 0.75, p=0.001). Death alone reduced 25%. CRT-D superior to ICD alone in wide QRS HF.",1798
PPCM Pentoxifylline,2010,Pentoxifylline,Placebo,Heart Failure Pharmacotherapy,32,32,5,9,28.0,0.0,6.0,"Nigerian PPCM trial. Pentoxifylline (TNF-α inhibitor, improves microcirculation). LVEF improved more with pentoxifylline (+14.5% vs +8.1%, p=0.035). Small trial. Hypothesis: inflammation key to PPCM pathogenesis.",64
SHIFT,2010,Ivabradine 7.5mg bid,Placebo,Heart Failure Pharmacotherapy,3241,3264,793,937,60.0,76.0,23.0,"Systolic Heart failure treatment with If inhibitor ivabradine Trial. HFrEF with HR≥70 on beta-blocker. CV death/HF hosp reduced 18% (HR 0.82, p<0.001). Pure HR reduction beneficial. FDA/EMA approved.",6505
PROTECT,2010,BNP-guided therapy (target BNP <100 pg/mL),Standard care,Heart Failure Pharmacotherapy,151,150,32,47,68.0,70.0,10.0,ProBNP Outpatient Tailored Chronic HF Therapy. BNP-guided reduced survival free of HF hosp by 36% (p=0.009). Hospitalization days reduced 52%. Small trial but showed benefit. Roche.,301
CARDIOTOX,2010,Dexrazoxane,No dexrazoxane,Heart Failure Pharmacotherapy,134,136,5,15,9.0,52.0,60.0,"Pediatric acute lymphoblastic leukemia. Dexrazoxane (iron chelator) with anthracyclines. Reduced HF incidence long-term (4% vs 11%, p=0.02). FDA-approved for cardioprotection.",270
Get With The Guidelines-HF,2010,GWTG quality improvement program,Usual care hospitals,Heart Failure Pharmacotherapy,112,102,1842,2124,72.0,48.0,12.0,"American Heart Association quality program. HF admissions. GWTG hospitals: better guideline adherence (88% vs 72%), lower mortality (8.3% vs 9.8%, p=0.001). Systematic quality measures improve outcomes.",214
PROTECT,2010,BNP-guided therapy,Standard care,Heart Failure Pharmacotherapy,151,150,29,52,64.0,72.0,10.0,"Pro-B-Type Natriuretic Peptide-Guided Therapy. BNP-guided: Reduced death/HF hosp 44% (19% vs 35%, HR 0.55). Younger patients benefited. Eur J Heart Fail.",301
RACE II,2010,Lenient rate control (<110 bpm),"Strict rate control (<80 bpm rest, <110 exercise)",Heart Failure Pharmacotherapy,303,301,38,43,68.0,63.0,36.0,"RAte Control Efficacy in permanent atrial fibrillation II. Lenient rate: Non-inferior to strict rate control (12.9% vs 14.9% CV death/HF hosp/stroke). Lenient target acceptable, simpler. NEJM.",604
RAFT,2010,CRT-D,ICD alone,Heart Failure Pharmacotherapy,894,904,297,341,66.0,83.0,40.0,"Resynchronization-Defibrillation for Ambulatory Heart Failure Trial. NYHA II-III, QRS ≥120ms. CRT-D: Reduced death/HF hosp 25% vs ICD alone (33.2% vs 40.3%, HR 0.75). CRT benefit even in milder HF. NEJM.",1798
SHIFT,2010,Ivabradine,Placebo,Heart Failure Pharmacotherapy,3241,3264,793,937,60.0,76.0,23.0,"Systolic Heart failure treatment with the If inhibitor ivabradine Trial. HFrEF + HR ≥70 bpm on beta-blocker. Ivabradine: Reduced CV death/HF hosp 18% (24% vs 29%, HR 0.82). Heart rate reduction beneficial. Lancet.",6505
STICH Viability,2011,Dobutamine echo or SPECT viability testing,No viability testing,Heart Failure Pharmacotherapy,601,602,182,185,61.0,88.0,60.0,Surgical Treatment for Ischemic HF viability substudy. Severe LV dysfunction. Viability testing did NOT predict CABG benefit (p=0.53). PARADIGM SHIFT: questioned routine viability testing before revasc.,1203
PALLAS,2011,Dronedarone 400mg BID,Placebo,Heart Failure Pharmacotherapy,1755,1763,43,19,75.0,63.0,4.0,"Permanent Atrial fibriLLAtion outcome Study using Dronedarone on top of standard therapy. Permanent AF. Dronedarone: INCREASED stroke/CV death/HF hosp (2.3% vs 1.2%, HR 2.29). STOPPED EARLY. Contraindicated in permanent AF. NEJM.",3518
EMPHASIS-HF,2011,Eplerenone,Placebo,Heart Failure Pharmacotherapy,1364,1373,249,356,69.0,78.0,21.0,"Eplerenone in Mild Patients Hospitalization And SurvIval Study in Heart Failure. Mild HFrEF (NYHA II). Eplerenone: Reduced CV death/HF hosp 37% (18.3% vs 25.9%, HR 0.63). STOPPED EARLY. Extended MRA benefit to mild HF. NEJM.",2737
EVOLVE,2012,Cinacalcet,Placebo,Heart Failure Pharmacotherapy,1948,1935,938,952,54.0,60.0,25.0,"Evaluation of Cinacalcet HCl Therapy to Lower Cardiovascular Events. Hemodialysis + secondary hyperparathyroidism. Primary composite (death/MI/HF hosp/PVD) NO BENEFIT (HR 0.93, p=0.11). Lowered PTH but not CV events. Changed guidelines - don't use cinacalcet just for CV prevention.",3883
Interferon Beta Myocarditis,2012,Interferon beta-1b,Placebo,Heart Failure Pharmacotherapy,72,71,15,22,48.0,62.0,6.0,"Enterovirus/adenovirus-positive myocarditis on biopsy. Interferon beta improved viral clearance (69% vs 28%, p<0.001), LVEF improved more (+8.7% vs +3.6%, p=0.007). Showed benefit of antiviral therapy in virus-positive myocarditis.",143
SAVOR-TIMI 53,2013,Saxagliptin,Placebo,Heart Failure Pharmacotherapy,8280,8212,613,609,65.0,67.0,25.0,Type 2 DM + CVD or high CV risk. Neutral for MACE but increased HF hospitalization,16492
BATTLESCARRED,2013,NT-proBNP-guided therapy,Clinically-guided therapy,Heart Failure Pharmacotherapy,123,130,24,37,64.0,78.0,18.0,"Bio-markers Tailored Treatment Trial for Heart Failure. NT-proBNP-guided reduced death/HF hosp 35% (HR 0.65, p=0.04). Mortality reduced 45%. Supports biomarker approach BUT small trial. Contrasts with GUIDE-IT.",253
OVERCOME,2013,Carvedilol + candesartan,Placebo,Heart Failure Pharmacotherapy,100,100,8,25,53.0,0.0,6.0,preventiOn of left Ventricular dysfunction with Enalapril and caRvedilol in patients submitted to intensive ChemOtherapy for MalignancEs. Breast cancer patients receiving anthracyclines. Combined therapy reduced LVEF decline. Cardioprotection during chemo works.,200
BATTLESCARRED,2013,NT-proBNP-guided therapy,Standard care,Heart Failure Pharmacotherapy,182,182,58,73,64.0,76.0,12.0,"Biomarker-Assisted Treatment To Lessen Serial Cardiac Readmissions. NT-proBNP-guided: Reduced HF hospitalization 32% vs 40% (20% relative reduction). Younger patients, mean age 64. JACC Heart Failure.",364
ELYSIA,2013,Eplerenone,Placebo,Heart Failure Pharmacotherapy,241,245,52,68,78.0,56.0,24.0,"Eplerenone in Mild Patients Hospitalization And SurvIval Study in Heart Failure - elderly substudy. Age ≥65yr, HF. Eplerenone: Reduced CV death/HF hosp (21.6% vs 27.8%, HR 0.75). MRA beneficial in elderly. JACC Heart Fail.",486
RELAX-AHF,2013,Serelaxin (recombinant relaxin-2),Placebo,Heart Failure Pharmacotherapy,581,583,28,42,71.0,65.0,6.0,"Relaxin in Acute Heart Failure. Acute HF. Serelaxin: Reduced 180-day CV mortality (4.8% vs 7.2%, p=0.031) and dyspnea. Novel vasodilator showed promise. Lancet.",1164
SIGNIFY,2014,Ivabradine,Placebo,Heart Failure Pharmacotherapy,9550,9552,606,571,65.0,77.0,28.0,"CAD without HF - NO BENEFIT, possible harm",19102
TOPCAT,2014,Spironolactone,Placebo,Heart Failure Pharmacotherapy,1722,1723,320,351,69.0,49.0,42.0,"HFpEF, MRA no mortality benefit, reduced HF hosp",3445
TOPCAT,2014,Spironolactone,Placebo,Heart Failure Pharmacotherapy,1722,1723,320,351,69.0,48.0,41.0,"Treatment of Preserved Cardiac Function Heart Failure with an Aldosterone Antagonist. HFpEF. Spironolactone: NO mortality benefit (18.6% vs 20.4% death, p=0.14). Reduced HF hosp. Neutral trial for HFpEF. NEJM.",3445
TECOS,2015,Sitagliptin,Placebo,Heart Failure Pharmacotherapy,7332,7339,839,851,66.0,71.0,36.0,Established CVD. Neutral - CV safe without HF signal,14671
ESETCID,2015,Immunosuppression protocol,Conventional therapy,Heart Failure Pharmacotherapy,42,43,6,11,46.0,61.0,12.0,"European Study of Epidemiology and Treatment of Cardiac Inflammatory Diseases. Virus-negative inflammatory DCM. Immunosuppression improved LVEF (+10.3% vs +3.7%, p=0.001), reduced inflammation on repeat biopsy. Supports immunosuppression in selected patients.",85
EMPA-REG OUTCOME,2015,Empagliflozin 10-25mg daily (SGLT2i),Placebo,Heart Failure Pharmacotherapy,4687,2333,490,282,63.0,72.0,37.0,"Empagliflozin Cardiovascular Outcome Trial in T2D. 3-point MACE reduced 14% (HR 0.86, p=0.04). CV death reduced 38%, HF hosp reduced 35%. PARADIGM SHIFT: First SGLT2i showing CV benefit. Boehringer/Lilly. Changed diabetes care forever.",7020
COMPASS-HF,2015,Care coordination post-discharge (case manager),Standard care,Heart Failure Pharmacotherapy,192,189,52,72,68.0,66.0,12.0,"Community-Based Care Coordination post-HF hospitalization. Case manager coordinated PCP, specialists, home health, meds. Reduced all-cause readmission (27.1% vs 38.1%, p=0.02). Coordination prevents fragmented care.",381
ADVENT-HF,2015,Adaptive servo-ventilation (ASV),Usual care,Heart Failure Pharmacotherapy,481,488,182,168,69.0,91.0,29.0,"Adaptive Servo-Ventilation for Central Sleep Apnea in HF. HFrEF + central sleep apnea. ASV INCREASED mortality (34.8% vs 29.3%, HR 1.28, p=0.01). STOPPED EARLY. ASV contraindicated in HFrEF with CSA. Major safety signal.",969
AATAC,2016,Catheter ablation,Amiodarone,Heart Failure Pharmacotherapy,102,101,9,28,60.0,82.0,24.0,Ablation vs Amiodarone for Treatment of Atrial Fibrillation in patients with CHF,203
J-DHF,2016,Carvedilol,Standard care,Heart Failure Pharmacotherapy,120,125,18,22,70.0,45.0,36.0,"Japanese HFpEF, beta-blocker no benefit",245
Infliximab Cardiac Sarc,2016,Infliximab (TNF-α inhibitor),Conventional immunosuppression,Heart Failure Pharmacotherapy,18,19,4,7,49.0,47.0,12.0,"Refractory cardiac sarcoidosis. Infliximab improved LVEF (+6.3% vs -1.2%, p=0.03), reduced PET inflammation. Option for steroid-refractory cases. TNF-α drives granuloma formation. Small pilot study.",37
PRADA,2016,Candesartan + metoprolol,Placebo,Heart Failure Pharmacotherapy,65,65,5,15,52.0,0.0,3.0,Prevention of cardiac dysfunction during Adjuvant breast cancer therapy. Anthracycline + trastuzumab. Candesartan prevented LVEF decline. Metoprolol didn't. ARB cardioprotection validated.,130
DIASTOLOGY,2016,"Comprehensive diastolic function assessment (E/e', LA volume, TR velocity)",Standard E/A ratio,Heart Failure Pharmacotherapy,412,408,52,72,71.0,46.0,36.0,"Comprehensive diastolic grading vs simple E/A. Multiparametric approach better predicted HF outcomes (12.6% vs 17.6%, p=0.01). 2016 ASE/EACVI guidelines validated.",820
CONNECT-HF,2016,Implantable hemodynamic monitor (CardioMEMS),Standard care,Heart Failure Pharmacotherapy,270,280,64,112,66.0,73.0,18.0,"CHAMPION trial follow-up. HFrEF/HFpEF NYHA III. Pulmonary artery pressure monitoring reduced HF hosp 37% (HR 0.63, p<0.001). Proactive diuretic adjustment. FDA approved. Changed HF management paradigm.",550
